Price,Close,High,Low,Open,Volume
2025-12-11,3076.10693359375,3092.0083609433445,3038.714674477584,3088.73179730002,1914362
2025-12-12,3103.66943359375,3106.0787407149996,3070.131831409176,3081.696505591174,1146554
2025-12-15,3113.017333984375,3120.727116365754,3081.31094805451,3094.610369719165,1562190
2025-12-16,3088.828125,3103.187500999765,3075.3360054304358,3103.187500999765,1734623
2025-12-17,3101.067138671875,3119.474102184826,3084.394687896739,3084.394687896739,1376350
2025-12-18,3161.78173828125,3168.5277977297296,3104.1510690788923,3110.897128527372,2307422
2025-12-19,3162.938232421875,3197.5357868591873,3159.854366515901,3179.3215200364916,3902511
2025-12-22,3204.281982421875,3207.8479451634685,3171.6118722000997,3189.9226061933546,2632816
2025-12-23,3189.92236328125,3199.4631245744913,3174.0209376032617,3199.4631245744913,2365420
2025-12-24,3198.59619140625,3206.4024407323423,3176.5270318942603,3184.2368148202168,1367708
2025-12-26,3161.0107421875,3199.5596536775915,3153.108262388808,3192.910060559104,1176664
2025-12-29,3133.544677734375,3168.7205598617948,3125.2565675579217,3161.010777477703,2079473
2025-12-30,3129.01513671875,3148.9641510011397,3121.9799134409154,3132.099002526,2807593
2025-12-31,3089.887939453125,3128.2441532690227,3082.4673210816295,3122.461816571668,3362634
2026-01-01,3110.31884765625,3116.775978595714,3082.1781891606697,3098.368779137981,1255735
2026-01-02,3132.7734375,3136.242933448354,3102.7053353217875,3116.679314934201,1184324
2026-01-05,3099.428955078125,3129.207895137578,3075.2394189664337,3122.94369701057,2341703
2026-01-06,3137.6884765625,3144.819930571793,3088.7313153651494,3093.5499289616628,2912325
2026-01-07,3176.044921875,3180.8635358265738,3106.271250685878,3125.2565425983025,1989442
2026-01-08,3087.67138671875,3167.66037916829,3066.565951499233,3167.66037916829,4159336
2026-01-09,3091.43017578125,3112.5356118812538,3075.239584998998,3075.239584998998,1938673
2026-01-12,3122.076416015625,3134.026484388671,3059.145271347969,3086.804068110982,2228342
2026-01-13,3149.446044921875,3161.0107182814413,3094.0319850739534,3127.2804209827063,5645341
2026-01-14,3076.684814453125,3141.736098705462,3067.529448521315,3141.736098705462,3539511
2026-01-15,3076.684814453125,3076.684814453125,3076.684814453125,3076.684814453125,0
2026-01-16,3146.54931640625,3161.464149941515,3111.519017760894,3159.0110444402844,4293470
2026-01-19,3104.258056640625,3159.600023336744,3092.973770842994,3128.2002715520307,3387562
2026-01-20,3044.10791015625,3100.7255406282875,3033.118044759914,3092.4832014713097,4499273
2026-01-21,3064.027099609375,3079.6287553253787,3024.188569033875,3041.8509292683366,2015150
2026-01-22,3091.305419921875,3100.7254411371077,3063.7326570458863,3090.9130188550284,2269827
2026-01-23,3103.178466796875,3134.578217290946,3092.875423666008,3130.457047950816,2068857
2026-01-27,3098.762939453125,3115.4440572399217,3071.2881572160486,3115.4440572399217,4279874
2026-01-28,3140.073486328125,3145.0776781720924,3111.1268393421374,3116.425451779539,2751234
2026-01-29,3085.41796875,3140.07335254898,3066.9708064954257,3140.07335254898,2457641
2026-01-30,3065.302734375,3082.082073579965,3034.001200735196,3082.082073579965,3022068
2026-02-02,3110.1455078125,3138.0126916764966,3075.2131881532646,3138.0126916764966,2636272
2026-02-03,3164.80078125,3287.1616459496977,3126.532332237451,3287.1616459496977,4366060
2026-02-04,2942.84375,3061.475843095512,2929.9893806035893,3061.475843095512,10852595
2026-02-05,2935.38623046875,2972.869637012123,2916.5464269268496,2933.9143670738968,3521545
2026-02-06,2886.422119140625,2929.0079343210614,2861.302223276454,2920.765595757455,4687389
2026-02-09,2892.8984375,2921.15826303242,2882.3991930324937,2903.5941220720847,2380318
2026-02-10,2928.61572265625,2955.109263473934,2888.2865702537815,2894.468444356794,3547763
2026-02-11,2855.21875,2941.76426862986,2849.723697569715,2924.1019081110685,3363513
2026-02-12,2698.514404296875,2825.977676593803,2688.603761759382,2815.9690535680857,10612156
2026-02-13,2641.700439453125,2662.110326952746,2536.5113141072056,2536.5113141072056,11168735
2026-02-16,2655.830322265625,2668.7826718221954,2620.898002964758,2649.3540277067937,2918730
2026-02-17,2666.427490234375,2708.228504276998,2644.6439610469733,2665.0538469624375,4209118
2026-02-18,2644.349609375,2678.7913077273606,2607.4550449905755,2678.7913077273606,2950820
2026-02-19,2627.66845703125,2697.140454434555,2616.5806115438327,2657.2039438116426,3238849
2026-02-20,2635.81298828125,2651.905505554349,2597.838959616639,2616.973184248376,2293482
2026-02-23,2626.0986328125,2653.2789947204583,2610.3005370564806,2635.616634548502,4699596
2026-02-24,2525.423095703125,2597.8388206557183,2513.255787797201,2591.460746119642,7798833
